1st_flr_sf,bsmt_exposure,bsmt_qual,bsmtfin_sf_1,bsmtfin_type_1,exter_qual,exterior_1st_HdBoard,exterior_1st_MetalSd,exterior_1st_Others,exterior_1st_PreCast,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_2nd_HdBoard,exterior_2nd_MetalSd,exterior_2nd_Other,exterior_2nd_Others,exterior_2nd_PreCast,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,fence,fireplace_qu,fireplaces,foundation_Others,foundation_PConc,full_bath,garage_area,garage_cars,garage_finish,garage_type_Attchd,garage_type_Others,gr_liv_area,heating_qc,house_style_1Story,house_style_Others,id,kitchen_qual,lot_area,lot_config_Inside,lot_config_Others,lot_frontage_reg_imputed,lot_shape,mas_vnr_area,mas_vnr_type_CBlock,mas_vnr_type_None,mas_vnr_type_Others,ms_subclass_120,ms_subclass_160,ms_subclass_180,ms_subclass_190,ms_subclass_20,ms_subclass_30,ms_subclass_40,ms_subclass_45,ms_subclass_50,ms_subclass_60,ms_subclass_70,ms_subclass_75,ms_subclass_80,ms_subclass_85,ms_subclass_90,ms_subclass_Others,ms_zoning_Others,ms_zoning_RL,neigh_group,open_porch_sf,overall_qual,pid,roof_style_Gable,roof_style_Others,saleprice,total_bsmt_sf,totrms_abvgrd,wood_deck_sf,year_built,year_remod_add
483,1.0,3.0,387.0,5.0,2.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,1,264.0,1.0,1.0,0.0,1.0,987,2.0,0.0,1.0,1044,2.0,1680,1.0,0.0,21.0,3.0,232.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,1.0,0.0,0,0,5.0,527451290,1.0,0.0,85400,483.0,4,0,1971,1971
1208,3.0,4.0,393.0,6.0,3.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,1.0,2,632.0,2.0,2.0,1.0,0.0,1208,4.0,1.0,0.0,2752,3.0,7488,1.0,0.0,64.0,2.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,3,58,6.0,906380150,1.0,0.0,183600,1208.0,6,105,2005,2005
1288,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,3.0,1,0.0,1.0,1,576.0,2.0,1.0,1.0,0.0,2016,4.0,0.0,1.0,807,2.0,26400,0.0,1.0,120.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,2,0,4.0,906226060,1.0,0.0,131000,0.0,7,0,1880,2007
962,1.0,4.0,813.0,6.0,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,2,480.0,2.0,1.0,0.0,1.0,1607,4.0,0.0,1.0,1177,3.0,2645,1.0,0.0,24.0,3.0,456.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,1.0,0.0,4,0,7.0,533236070,1.0,0.0,200000,960.0,7,169,1999,2000
1361,3.0,4.0,24.0,6.0,3.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,1.0,2,610.0,2.0,2.0,1.0,0.0,1361,4.0,1.0,0.0,1480,3.0,9627,1.0,0.0,74.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,3,50,6.0,907418040,1.0,0.0,193000,1351.0,6,0,2007,2007
1430,3.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,1.0,2,624.0,2.0,2.0,1.0,0.0,1430,4.0,1.0,0.0,324,3.0,10114,1.0,0.0,93.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2,0,4.0,923202105,1.0,0.0,173500,1430.0,7,0,2004,2005
624,1.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,1,513.0,3.0,1.0,0.0,1.0,1344,1.0,0.0,1.0,1311,2.0,4571,1.0,0.0,34.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,1.0,0.0,0,0,4.0,902301140,1.0,0.0,98000,624.0,7,0,1916,1950
1121,1.0,3.0,651.0,3.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,3.0,0.0,0,0.0,1.0,1,480.0,2.0,1.0,0.0,1.0,1121,2.0,1.0,0.0,770,2.0,8816,0.0,1.0,80.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,1,80,4.0,905101490,1.0,0.0,139000,1121.0,5,0,1963,1963
1285,1.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,3.0,3.0,1,1.0,0.0,1,528.0,2.0,2.0,1.0,0.0,1285,4.0,1.0,0.0,2063,2.0,8197,1.0,0.0,71.0,3.0,148.0,0,0.0,1.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,1,0,5.0,905107140,1.0,0.0,143500,660.0,7,138,1977,1977
764,2.0,4.0,24.0,6.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,1.0,2,614.0,2.0,1.0,1.0,0.0,1547,4.0,0.0,1.0,69,3.0,8640,1.0,0.0,72.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,1.0,0,0,0,0,0,0.0,1.0,0.0,4,45,6.0,528458070,1.0,0.0,215200,756.0,7,169,2009,2009
894,1.0,4.0,492.0,4.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,1,1.0,0.0,1,450.0,2.0,3.0,1.0,0.0,894,3.0,1.0,0.0,2062,2.0,8724,1.0,0.0,109.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,1,0,4.0,905106150,1.0,0.0,129000,894.0,5,0,1968,1968
1659,1.0,4.0,1158.0,6.0,3.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,5.0,1,0.0,1.0,2,499.0,2.0,3.0,1.0,0.0,1659,4.0,1.0,0.0,351,4.0,5664,1.0,0.0,40.0,2.0,0.0,0,1.0,0.0,1.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,4,59,7.0,527131030,1.0,0.0,278000,1501.0,5,212,2000,2000
1209,3.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,4.0,1,0.0,1.0,2,575.0,2.0,3.0,1.0,0.0,2253,4.0,0.0,1.0,2393,4.0,12867,0.0,1.0,103.0,2.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,1.0,0,0,0,0,0,0.0,0.0,1.0,4,142,7.0,528142010,1.0,0.0,344133,1209.0,8,243,2005,2006
1187,1.0,4.0,935.0,5.0,2.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,4.0,0.0,0,0.0,1.0,2,420.0,2.0,3.0,1.0,0.0,1187,4.0,1.0,0.0,12,2.0,7980,1.0,0.0,66.98719895717853,2.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,3,21,5.0,527165230,1.0,0.0,185000,1168.0,6,483,1992,2007
1056,2.0,3.0,1056.0,3.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,1.0,0.0,1,572.0,2.0,3.0,1.0,0.0,1056,2.0,1.0,0.0,2339,2.0,34650,1.0,0.0,100.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,3,0,4.0,527250040,0.0,1.0,145000,1056.0,5,264,1955,1955
1453,1.0,3.0,1312.0,3.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,4.0,3.0,1,1.0,0.0,2,530.0,2.0,2.0,1.0,0.0,1453,4.0,1.0,0.0,624,2.0,10573,0.0,1.0,92.0,2.0,3.0,0,0.0,1.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2,49,5.0,535104120,0.0,1.0,187500,1453.0,6,0,1961,1961
894,1.0,3.0,553.0,6.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,3.0,4.0,1,1.0,0.0,1,336.0,1.0,1.0,0.0,1.0,894,4.0,1.0,0.0,86,2.0,8450,1.0,0.0,65.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,1,144,4.0,532376160,1.0,0.0,138500,894.0,5,416,1965,2009
1265,1.0,3.0,606.0,4.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,4.0,1,1.0,0.0,2,240.0,1.0,1.0,0.0,1.0,1938,4.0,0.0,1.0,1534,3.0,11700,1.0,0.0,79.6673339523149,2.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,0.0,0,0,0,0,0,0.0,0.0,1.0,4,40,4.0,909277040,1.0,0.0,198000,942.0,7,0,1937,1995
1034,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,1991,1.0,0.0,1.0,2243,2.0,8250,1.0,0.0,75.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,1.0,0.0,0,0,4.0,911103060,1.0,0.0,119600,957.0,9,0,1895,2006
672,2.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,3.0,1.0,1,1.0,0.0,1,576.0,2.0,1.0,0.0,1.0,924,4.0,0.0,1.0,1957,2.0,8064,0.0,1.0,60.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2,0,4.0,535450190,1.0,0.0,122900,672.0,6,0,1949,2006
2524,1.0,4.0,1104.0,5.0,3.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,3.0,4.0,1,0.0,1.0,2,542.0,2.0,3.0,1.0,0.0,2524,2.0,1.0,0.0,380,3.0,9600,1.0,0.0,80.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,3,120,7.0,527355150,0.0,1.0,278000,2524.0,9,474,1981,1981
792,1.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,4.0,2,0.0,1.0,1,400.0,2.0,1.0,0.0,1.0,1517,1.0,0.0,1.0,2860,3.0,11435,0.0,1.0,78.83154600376697,2.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,4,0,7.0,909276010,1.0,0.0,230000,792.0,7,0,1929,1950
1494,3.0,4.0,437.0,2.0,3.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,4.0,1,0.0,1.0,1,481.0,2.0,3.0,1.0,0.0,1494,4.0,1.0,0.0,2517,4.0,9549,0.0,1.0,30.0,2.0,0.0,0,1.0,0.0,1.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,4,30,7.0,533250130,0.0,1.0,270000,1494.0,6,0,1995,1996
948,1.0,3.0,441.0,5.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,1.0,0.0,1,410.0,2.0,1.0,0.0,1.0,948,2.0,1.0,0.0,1933,2.0,10950,1.0,0.0,60.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2,48,5.0,535302070,0.0,1.0,125000,948.0,5,0,1952,1952
1718,4.0,5.0,1288.0,6.0,3.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,4.0,1,0.0,1.0,2,826.0,3.0,2.0,1.0,0.0,1718,4.0,1.0,0.0,820,3.0,10637,1.0,0.0,79.0,3.0,336.0,0,0.0,1.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,3,44,7.0,906340110,0.0,1.0,297000,1705.0,7,208,2007,2008
1142,4.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,4.0,1,1.0,0.0,1,384.0,1.0,2.0,0.0,1.0,1142,1.0,1.0,0.0,675,2.0,9000,1.0,0.0,80.0,2.0,82.0,0,0.0,1.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2,28,5.0,535426150,0.0,1.0,113500,160.0,5,0,1958,1958
925,1.0,3.0,548.0,5.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,3.0,1,0.0,1.0,2,336.0,1.0,2.0,1.0,0.0,1475,4.0,0.0,1.0,2910,2.0,2665,1.0,0.0,41.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,1.0,0.0,0,26,4.0,923225240,1.0,0.0,127000,757.0,6,104,1977,1977
1844,1.0,4.0,705.0,4.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,3.0,3.0,1,1.0,0.0,2,546.0,2.0,2.0,1.0,0.0,1844,4.0,1.0,0.0,21,2.0,11751,1.0,0.0,105.0,2.0,480.0,0,0.0,1.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,3,122,5.0,527358140,0.0,1.0,190000,1844.0,7,0,1977,1977
1242,1.0,3.0,916.0,5.0,2.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,3.0,1,1.0,0.0,1,528.0,2.0,1.0,1.0,0.0,1242,1.0,1.0,0.0,1873,2.0,9600,1.0,0.0,80.0,3.0,320.0,0,0.0,1.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,3,0,6.0,534177210,0.0,1.0,175500,1242.0,6,0,1973,1973
990,1.0,4.0,420.0,6.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,1.0,1,384.0,1.0,1.0,0.0,1.0,990,4.0,1.0,0.0,2125,2.0,8428,1.0,0.0,60.0,1.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,3,0,4.0,907135050,1.0,0.0,146000,990.0,5,256,1994,1994
1256,1.0,3.0,830.0,4.0,3.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,1,276.0,1.0,3.0,1.0,0.0,1256,3.0,1.0,0.0,1489,2.0,9937,1.0,0.0,75.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,1,68,4.0,908102260,1.0,0.0,147500,1256.0,6,736,1965,1965
2076,4.0,5.0,1386.0,6.0,4.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,4.0,1,0.0,1.0,2,850.0,3.0,3.0,1.0,0.0,2076,4.0,1.0,0.0,2383,4.0,13891,1.0,0.0,107.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,4,229,9.0,528110050,1.0,0.0,465000,2076.0,7,216,2006,2006
1110,3.0,4.0,1097.0,6.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,3.0,1,0.0,1.0,1,602.0,2.0,3.0,1.0,0.0,1110,4.0,0.0,1.0,983,3.0,9101,0.0,1.0,71.04691455652375,2.0,104.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,2,30,4.0,923275040,1.0,0.0,165500,1097.0,4,303,1978,1978
1050,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,2,352.0,1.0,1.0,1.0,0.0,1795,4.0,0.0,1.0,1325,2.0,12150,1.0,0.0,81.0,3.0,335.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,1.0,0.0,0,0,0,0,0,0.0,1.0,0.0,0,0,4.0,902406090,1.0,0.0,131500,1050.0,7,0,1954,1954
1040,1.0,3.0,906.0,3.0,2.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,1,384.0,1.0,1.0,0.0,1.0,1040,4.0,1.0,0.0,1378,2.0,11200,1.0,0.0,70.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,1,0,4.0,905102170,0.0,1.0,129500,1040.0,5,0,1965,1965
983,1.0,3.0,210.0,2.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,4.0,2,0.0,1.0,1,786.0,2.0,3.0,0.0,1.0,1873,2.0,0.0,1.0,1537,2.0,9670,1.0,0.0,100.0,2.0,40.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,4,0,7.0,909281110,1.0,0.0,257076,608.0,9,0,1935,1950
984,1.0,3.0,408.0,2.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,1.0,0.0,2,660.0,2.0,1.0,0.0,1.0,1604,4.0,0.0,1.0,905,2.0,10998,1.0,0.0,60.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,0.0,0,0,0,0,0,0.0,0.0,1.0,1,68,4.0,909101140,1.0,0.0,117000,984.0,6,0,1941,1960
851,1.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,3.0,4.0,1,1.0,0.0,1,270.0,1.0,2.0,1.0,0.0,1502,2.0,0.0,1.0,1532,2.0,7200,1.0,0.0,60.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,4,0,6.0,909275050,1.0,0.0,149000,776.0,6,0,1931,2000
1063,1.0,3.0,354.0,3.0,2.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,3.0,0.0,0,1.0,0.0,1,280.0,1.0,2.0,1.0,0.0,1063,2.0,1.0,0.0,132,2.0,9920,1.0,0.0,80.0,3.0,110.0,0,0.0,1.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2,0,4.0,534475100,1.0,0.0,128000,1056.0,6,0,1954,1954
